"id","name_en","name_ar","name_he","slug","district_1945","subdistrict_1945","district_isr","type_special","pop_1922","pop_1931","type_1945","grp_1945","pop_1945","pal_1945","jsh_1945","change_2016","type_2016","grp_2016","pop_2016","pal_2016","jsh_2016","oth_2016","start","end","lat","lng","map_20k","id_zo","id_pr","id_as","id_old","id_pq","url_pr","url_pq_en","url_pq_ar","notes"
"24","Allonim","","אלונים","allonim","Haifa","Haifa","Northern","","","","Settlement","Mixed","690","370","320","Remaining","Settlement","Jewish","500","","500","","1938","","32.720363","35.142930","yes","","2596","","2460","949","","","",""
"25","Nahalal","نحلال","נהלל","nahalal","Galilee","Nazareth","Northern","","","","Settlement","Jewish","1090","","1090","Remaining","Settlement","Jewish","800","","800","","1921","","32.690380","35.196770","yes","","2591","","2461","57","","","",""
"26","Ramat David","رامات ديفيد","רמת דוד","ramat-david","Galilee","Nazareth","Northern","","","","Settlement","Jewish","510","","510","Remaining","Settlement","Jewish","500","","500","","1926","","32.678286","35.203816","yes","","2592","","2462","94","","","",""
"27","al-Shaykh Bureik","الشيخ بريك","אלשיח' בריכ","al-sheikh-bureik","Haifa","Haifa","","","","","Village","Palestinian","","","","Depopulated","","","","","","","1920","","32.701834","35.128618","yes","49494","","","2463","977","","","",""
"28","Abu Sinan","أبو سنان","","abu-sinan","Galilee","Acre","Northern","","518","605","Village","Palestinian","820","820","","Remaining","Village","Palestinian","13500","13500","","","","","32.957494","35.171686","yes","","671","","2464","9","GeoPoints/Abu_Sinan_671","","",""
"29","Acre","عكا","עכו","acre","Galilee","Acre","Northern","1945_Urban","6420","7897","Town","Palestinian","12360","12310","50","Appropriated","City","Mixed","47800","15000","29500","3300","","1948-05-18","32.921781","35.068248","yes","49425","521","6","2465","8","Acre/Acre","","",""
"30","Amqa","عمقا","עַמְקָא","amqa-acre","Galilee","Acre","","","","894","Village","Palestinian","1240","1240","","Depopulated","","","","","","","","1948-07-10","32.978292","35.167959","yes","49400","549","13","2466","10","Acre/Amqa","16778/amqa","22212/عمقا",""
"31","Arab al-Samniyya","عرب السّمنية","עַרָבּ אלסַמְנִיָּה","arab-al-samniyya","","","","","","","Village","Palestinian","200","200","","Built over","","","","","","","","1948-05-14","33.047056","35.179054","yes","49337","1305","20","2467","","Acre/Arab-al-Samniyya","","",""
"32","Arraba","عرابة","","arraba-acre","Galilee","Acre","Northern","","984","1224","Village","Palestinian","1800","1800","","Remaining","City","Palestinian","24400","24400","","","","","32.850728","35.338329","yes","","566","","2468","11","GeoPoints/_Arraba___Buttof_566","","",""
"33","al-Bassa","البصّة","אלבַּסֿה","al-bassa","Galilee","Acre","","","","1948","Village","Mixed","3100","2950","150","Built over","","","","","","","","1948-05-14","33.078079","35.142962","yes","49033","999","2","2469","3","Acre/al-Bassa","16794/al-bassa","20683/البصّة",""
"34","Bayt Jann","بيت جن","","bayt-jann","Galilee","Acre","Northern","","902","1101","Village","Palestinian","1640","1640","","Remaining","Village","Palestinian","11600","11600","","","","","32.964909","35.381185","yes","","867","","2470","12","GeoPoints/Bayt_Jann_867","","",""
"35","Bi'na","البعنة","","bina","Galilee","Acre","Northern","","518","651","Village","Palestinian","830","830","","Remaining","Village","Palestinian","8000","8000","","","","","32.931793","35.271464","yes","","903","","2471","13","GeoPoints/Bi_na_903","","",""
"36","al-Birwa","البروة","אלבִּרְוָה","al-birwa","Galilee","Acre","","","807","996","Village","Palestinian","1460","1460","","Depopulated","","","","","","","","1948-07-15","32.905473","35.178674","yes","49015","1006","11","2472","14","Acre/al-Birwa","16798/al-birwa","20679/البروة",""
"37","Buqei'a/Peki'in","البقيعة","","buqeia","Galilee","Acre","Northern","","652","799","Village","Palestinian","990","990","","Remaining","Village","Palestinian","5700","5700","","","","","32.976642","35.335748","yes","","923","","2473","15","GeoPoints/Buqei_a_Peki_in_923","","",""
"38","al-Damun","الدامون","אלדאמוּן","al-damun","Galilee","Acre","","","727","917","Village","Palestinian","1310","1310","","Depopulated","","","","","","","","1948-07-16","32.876842","35.182290","yes","49124","985","15","2474","16","Acre/al-Damun","16802/al-damun","22204/الدامون",""
"39","Dayr al-Asad","دير الأسد","","dayr-al-asad","Galilee","Acre","Northern","","749","858","Village","Palestinian","1100","1100","","Remaining","Village","Palestinian","11900","11900","","","","","32.935260","35.270569","yes","","957","","2475","17","GeoPoints/Dayr_al_Asad_957","","",""
"40","Dayr Hanna","دير حنا","","dayr-hanna","Galilee","Acre","Northern","","429","563","Village","Palestinian","750","750","","Remaining","Village","Palestinian","9900","9900","","","","","32.862909","35.364207","yes","","965","","2476","18","GeoPoints/Dayr_Hanna_965","","",""
"41","Dayr al-Qasi","دير القاسي","דֵיר אלקאסי","dayr-al-qasi","Galilee","Acre","","","","917","Village","Palestinian","2300","2300","","Built over","","","","","","","","1948-10-30","33.034969","35.324095","yes","49111","961","18","2477","19","Acre/Dayr-al-Qasi","16976/dayr-al-qasi","22205/دير-القاسي",""
"42","al-Ghabisiyya","الغابسية","אלעַ'אבּסִיָּה","al-ghabisiyya","Galilee","Acre","","","427","470","Village","Palestinian","1240","1240","","Depopulated","","","","","","","","1948-05-21","33.000162","35.149629","yes","49385","1150","1","2478","20","Acre/al-Ghabisiyya","16811/al-ghabisiyya","22213/الغابسية",""
"43","Hanita","حانيتا","חניתה","hanita","Galilee","Acre","Northern","","","","Settlement","Jewish","240","","240","Remaining","Settlement","Jewish","700","","700","","1938","","33.087808","35.172667","yes","","2034","","2479","3","","","",""
"44","Iqrit","إقرت","אִקְרִת","iqrit","Galilee","Acre","","","","339","Village","Palestinian","490","490","","Depopulated","","","","","","","","1948-10-31","33.075565","35.275571","yes","48985","1193","22","2480","21","Acre/Iqrit","17011/iqrit","22195/إقرت",""
"45","al-Jadeida","الجديدة","","al-jadeida","Galilee","Acre","Northern","","204","","Village","Palestinian","280","280","","Remaining","Village","Palestinian","20200","20200","","","","","32.927374","35.156631","yes","","1236","","2481","23","GeoPoints/al_Jadeida_1236","","",""
"46","Jatt","جت","","jatt-acre","Galilee","Acre","Northern","","137","154","Village","Palestinian","200","200","","Remaining","Village","Palestinian","6400","6400","","","","","32.973606","35.235312","yes","","1221","","2482","22","GeoPoints/Jatt_1221","","",""
"47","Khirbat Jiddin","خربة جدين","ח'רבּת גִ'דִּין","khirbat-jiddin","Galilee","Acre","","","","","Village","Mixed","","","","Built over","","","","","","","","1948-07-01","32.994155","35.221993","yes","49074","1330","12","2483","30","Acre/Jiddin,-Khirbat","17068/khirbat-jiddin","22202/خربة-جدين",""
"48","Julis","جولس","","julis-acre","Galilee","Acre","Northern","","446","614","Village","Palestinian","820","820","","Remaining","Village","Palestinian","6200","6200","","","","","32.943627","35.187030","yes","","1240","","2484","24","GeoPoints/Julis_1240","","",""
"49","Kabul","كابول","כאבול","kabul","Galilee","Acre","Northern","","365","457","Village","Palestinian","560","560","","Remaining","Village","Palestinian","13400","13400","","","","1948-07-15","32.866501","35.213723","yes","","1245","","2485","26","Acre/Kabul","","",""
"50","Kafr 'Inan","كفر عنان","כַּפִר עִנאן","kafr-inan","Galilee","Acre","","","179","246","Village","Palestinian","360","360","","Depopulated","","","","","","","","1948-10-01","32.923074","35.419276","yes","49227","1254","27","2486","27","Acre/Kafr-%27Inan","17033/kafr-inan","22215/كفر-عنان",""
"51","Kafr Sumei","كفر سميع","","kafr-sumei","Galilee","Acre","Northern","","171","213","Village","Palestinian","300","300","","Remaining","Village","Palestinian","","","","","","","32.979364","35.306397","yes","","1272","","2487","28","GeoPoints/Kafr_Sumei_1272","","",""
"52","Kafr Yasif","كفر ياسيف","","kafr-yasif","Galilee","Acre","Northern","","870","1057","Village","Palestinian","1400","1400","","Remaining","Village","Palestinian","9700","9700","","","","","32.955262","35.165227","yes","","1275","","2488","29","GeoPoints/Kafr_Yasif_1275","","",""
"54","Kisra-Sumei","كسرا","","kisra-sumei","Galilee","Acre","Northern","","250","384","Village","Palestinian","480","480","","Remaining","Village","Palestinian","8300","8300","","","","","32.961948","35.303011","yes","","1374","","2490","32","GeoPoints/Kisra_Sumei_1374","","",""
"55","Kuwaykat","كويكات","כֻּויכַּאת","kuwaykat","Galilee","Acre","","","604","789","Village","Palestinian","1050","1050","","Built over","","","","","","","","1948-07-09","32.971051","35.147834","yes","49232","1380","14","2491","33","Acre/Kuwaykat","17083/kuwaykat","22216/كويكات",""
"56","Majd al-Kurum","مجد الكروم","מג'ד אל-כרום","majd-al-kurum","Galilee","Acre","Northern","","889","1006","Village","Palestinian","1400","1400","","Remaining","Village","Palestinian","14800","14800","","","","1948-10-29","32.920434","35.252547","yes","","1390","30","2492","34","GeoPoints/Majd_al_Kurum_1390","","",""
"57","Makr","المكر","","makr","Galilee","Acre","Northern","","281","331","Village","Palestinian","490","490","","Remaining","Village","Palestinian","","","","","","","32.934105","35.139372","yes","","1394","","2493","982","GeoPoints/Makr_1394","","","Amalgamated into larger urban area"
"58","al-Manshiyya","المنشية","אלמַנְשִיָה","al-manshiyya-acre","Galilee","Acre","","","371","460","Village","Mixed","1080","810","270","Built over","","","","","","","","1948-05-14","32.931918","35.090777","yes","49268","1396","3","2494","35","Acre/al-Manshiyya","16839/al-manshiyya","22218/المنشية",""
"59","al-Mazra'a","المزرعة","","al-mazraa","Galilee","Acre","Northern","","218","320","Village","Mixed","960","430","530","Remaining","Village","Palestinian","3700","3700","","","","","32.983836","35.098352","yes","","746","","2495","36","GeoPoints/al_Mazra_a_746","","",""
"60","Mi'ar","معار","מִעאר","miar","Galilee","Acre","","","429","543","Village","Palestinian","770","770","","Built over","","","","","","","","1948-07-18","32.875426","35.247252","yes","49249","1418","16","2496","37","Acre/Mi%27ar","17096/miar","22217/معار",""
"61","Mi'ilya","معليا","","miilya","Galilee","Acre","Northern","","442","","Village","Palestinian","900","900","","Remaining","Village","Palestinian","3100","3100","","","","","33.024447","35.260668","yes","","1419","","2497","38","GeoPoints/Mi_ilya_1419","","",""
"62","Nahf","نحف","נחף","nahf","Galilee","Acre","Northern","","818","994","Village","Palestinian","1320","1320","","Remaining","Village","Palestinian","12300","12300","","","","1948-07-15","32.935945","35.316697","yes","","1448","","2498","39","Acre/Nahf","","",""
"63","al-Nahr","النهر","אלנָהְר","al-nahr","Galilee","Acre","","","","522","Village","Palestinian","610","610","","Depopulated","","","","","","","","1948-05-21","33.005986","35.140168","yes","49311","1077","8","2499","40","Acre/al-Nahr","16865/al-nahr","22221/النهر",""
"64","al-Nahr","النهر","נהרייה","nahariyya","Galilee","Acre","Northern","","","","Settlement","Jewish","1440","","1440","Remaining","City","Jewish","53500","","48700","4800","1934","","33.007112","35.092779","yes","","1941","","2500","1","","16865/al-nahr","22221/النهر",""
"65","al-Rama","الرامة","","al-rama-acre","Galilee","Acre","Northern","","847","1142","Village","Palestinian","1690","1690","","Remaining","Village","Palestinian","7500","7500","","","","","32.938355","35.367729","yes","","1507","","2501","41","GeoPoints/al_Rama_1507","","",""
"66","al-Ruways","الرويس","אלרֻוֵיְס","al-ruways","Galilee","Acre","","","154","217","Village","Palestinian","330","330","","Depopulated","","","","","","","","1948-07-16","32.864435","35.177826","yes","49476","762","17","2502","42","Acre/al-Ruways","16874/al-ruways","22206/الرويس",""
