"id","name_en","name_ar","name_he","slug","district_1945","subdistrict_1945","district_isr","type_special","pop_1922","pop_1931","type_1945","grp_1945","pop_1945","pal_1945","jsh_1945","change_2016","type_2016","grp_2016","pop_2016","pal_2016","jsh_2016","oth_2016","start","end","lat","lng","map_20k","id_zo","id_pr","id_as","id_old","id_pq","url_pr","url_pq_en","url_pq_ar","notes"
"617","Askar","عسكر","","askar","Samaria","Nablus","West Bank","","215","276","Village","Palestinian","340","340","","Remaining","Village","Palestinian","","","","","","","32.217037","35.288768","yes","","571","","3053","163","GeoPoints/_Askar_571","","",""
"618","Awarta","عورتا","","awarta","Samaria","Nablus","West Bank","","938","1019","Village","Palestinian","1470","1470","","Remaining","Village","Palestinian","6824","6824","","","","","32.160683","35.286475","yes","","574","","3054","164","GeoPoints/_Awarta_574","","",""
"619","Aynabus","عينابوس","","aynabus","Samaria","Nablus","West Bank","","227","244","Village","Palestinian","340","340","","Remaining","Village","Palestinian","2840","2840","","","","","32.147236","35.245246","yes","","587","","3055","166","GeoPoints/_Aynabus_587","","",""
"620","Azmut","عزموط","","azmut","Samaria","Nablus","West Bank","","283","307","Village","Palestinian","410","410","","Remaining","Village","Palestinian","3216","3216","","","","","32.223292","35.309690","yes","","575","","3056","165","GeoPoints/_Azmut_575","","",""
"621","Balata","بلاطة","","balata","Samaria","Nablus","West Bank","","461","574","Village","Palestinian","770","770","","Remaining","Village","Palestinian","","","","","","","32.211502","35.282168","yes","","827","","3057","168","GeoPoints/Balata_827","","",""
"622","Baqat al-Hatab","باقة","","baqat-al-hatab","Samaria","Nablus","West Bank","","207","282","Village","Palestinian","390","390","","Remaining","Village","Palestinian","2047","2047","","","","","32.205338","35.115245","yes","","830","","3058","169","GeoPoints/Baqat_al_Hatab_830","","",""
"623","Bayt Dajan","بيت دجن","","bayt-dajan-nablus","Samaria","Nablus","West Bank","","487","","Village","Palestinian","750","750","","Remaining","Village","Palestinian","4229","4229","","","","","32.193120","35.371047","yes","","855","","3059","171","GeoPoints/Bayt_Dajan_855","","",""
"624","Bayt Furiq","بيت فوريك","","bayt-furiq","Samaria","Nablus","West Bank","","744","867","Village","Palestinian","1240","1240","","Remaining","Village","Palestinian","12546","12546","","","","","32.177138","35.336065","yes","","859","","3060","172","GeoPoints/Bayt_Furik_859","","",""
"625","Bayt Iba","بيت إيبا","","bayt-iba","Samaria","Nablus","West Bank","","456","470","Village","Palestinian","630","630","","Remaining","Village","Palestinian","3823","3823","","","","","32.234921","35.208447","yes","","863","","3061","173","GeoPoints/Bayt_Iba_863","","",""
"626","Bayt Umrin","بيت امرين","","bayt-umrin","Samaria","Nablus","West Bank","","527","620","Village","Palestinian","860","860","","Remaining","Village","Palestinian","3423","3423","","","","","32.292272","35.215668","yes","","893","","3062","174","GeoPoints/Bayt_Umrin_893","","",""
"627","Bayt Wazzan","بيت وزن","","bayt-wazzan","Samaria","Nablus","West Bank","","270","253","Village","Palestinian","310","310","","Remaining","Village","Palestinian","1283","1283","","","","","32.231413","35.215838","yes","","894","","3063","156","GeoPoints/Bayt_Wazan_894","","",""
"628","Bazzariya","بزارية","","bazzariya","Samaria","Nablus","West Bank","","183","217","Village","Palestinian","320","320","","Remaining","Village","Palestinian","2733","2733","","","","","32.306791","35.165421","yes","","842","","3064","170","GeoPoints/Bazzariya_842","","",""
"629","Beita","بيتا","","beita","Samaria","Nablus","West Bank","","883","1194","Village","Palestinian","1580","1580","","Remaining","Village","Palestinian","11017","11017","","","","","32.143618","35.286522","yes","","895","","3065","175","GeoPoints/Beita_895","","",""
"630","Biddya","بديا","","biddya","Samaria","Nablus","West Bank","","792","1026","Village","Palestinian","1360","1360","","Remaining","Village","Palestinian","9784","9784","","","","","32.113578","35.076393","yes","","905","","3066","176","GeoPoints/Biddya_905","","",""
"631","Burin & Iraq Burin","بورين","","burin","Samaria","Nablus","West Bank","","201","859","Village","Palestinian","1200","1200","","Remaining","Village","Palestinian","2802","2802","","","","","32.184482","35.249909","yes","","927","","3067","178","GeoPoints/Burin_927","","",""
"632","Burqa","برقا","","burqa-nablus","Samaria","Nablus","West Bank","","1688","1890","Village","Palestinian","2590","2590","","Remaining","Village","Palestinian","4454","4454","","","","","32.301011","35.193717","yes","","929","","3068","179","GeoPoints/Burqa_929","","",""
"633","Burqin","بروقين","","burqin-nablus","Samaria","Nablus","West Bank","","367","534","Village","Palestinian","690","690","","Remaining","Village","Palestinian","3926","3926","","","","","32.070034","35.099236","yes","","932","","3069","177","GeoPoints/Buruqin_Ibruqin_932","","",""
"634","Dayr Ballut","دير بلوط","","dayr-ballut","Samaria","Nablus","West Bank","","384","532","Village","Palestinian","720","720","","Remaining","Village","Palestinian","3877","3877","","","","","32.064159","35.025387","yes","","954","","3070","242","GeoPoints/Dayr_Ballut_954","","",""
"635","Dayr al-Hatab","دير الحطب","","dayr-al-hatab","Samaria","Nablus","West Bank","","234","277","Village","Palestinian","370","370","","Remaining","Village","Palestinian","2685","2685","","","","","32.217194","35.321345","yes","","960","","3071","180","GeoPoints/Dayr_al_Hatab_960","","",""
"636","Dayr Istiyya","دير استيا","","dayr-istiyya","Samaria","Nablus","West Bank","","674","886","Village","Palestinian","1190","1190","","Remaining","Village","Palestinian","3817","3817","","","","","32.130768","35.140221","yes","","967","","3072","181","GeoPoints/Dayr_Istiya_967","","",""
"637","Dayr Sharaf","دير شرف","","dayr-sharaf","Samaria","Nablus","West Bank","","487","572","Village","Palestinian","800","800","","Remaining","Village","Palestinian","2985","2985","","","","","32.253946","35.189074","yes","","973","","3073","182","GeoPoints/Dayr_Sharaf_973","","",""
"638","Duma","دوما","","duma","Samaria","Nablus","West Bank","","155","218","Village","Palestinian","310","310","","Remaining","Village","Palestinian","2547","2547","","","","","32.056191","35.367389","yes","","980","","3074","183","GeoPoints/Duma_980","","",""
"639","Fart'a","فرعتة","","farta","Samaria","Nablus","West Bank","","36","47","Village","Palestinian","70","70","","Remaining","Village","Palestinian","799","799","","","","","32.190505","35.165611","yes","","1123","","3075","188","GeoPoints/Far_ata_1123","","",""
"640","Farkha","فرخة","","farkha","Samaria","Nablus","West Bank","","210","304","Village","Palestinian","380","380","","Remaining","Village","Palestinian","1657","1657","","","","","32.069804","35.147426","yes","","1129","","3076","189","GeoPoints/Farkha_1129","","",""
"641","al-Funduq","الفندق","","al-funduq","Samaria","Nablus","West Bank","","66","72","Village","Palestinian","100","100","","Remaining","Village","Palestinian","941","941","","","","","32.190575","35.137441","yes","","1014","","3077","184","GeoPoints/al_Funduq_1014","","",""
"642","Ghor al-Fari'a","غور الفارعة","","ghor-al-faria","Samaria","Nablus","West Bank","","","","Community","Palestinian","1670","1670","","Remaining","Community","Palestinian","","","","","","","32.115442","35.516755","yes","","1155","","3078","190","GeoPoints/Ghor_al_Fari_a___Umm_Hureira_1155","","",""
"643","Hajja","حجة","","hajja","Samaria","Nablus","West Bank","","642","731","Village","Palestinian","960","960","","Remaining","Village","Palestinian","2674","2674","","","","","32.204784","35.131153","yes","","1161","","3079","191","GeoPoints/Hajja_1161","","",""
"644","Haris","حارس","","haris","Samaria","Nablus","West Bank","","285","394","Village","Palestinian","540","540","","Remaining","Village","Palestinian","3776","3776","","","","","32.114781","35.142330","yes","","1165","","3080","192","GeoPoints/Haris_1165","","",""
"645","Huwwara","حوارة","","huwwara","Samaria","Nablus","West Bank","","921","955","Village","Palestinian","1300","1300","","Remaining","Village","Palestinian","6759","6759","","","","","32.152677","35.256047","yes","","1181","","3081","193","GeoPoints/Huwwara_1181","","",""
"646","Ijnisinya","اجنسنيا","","ijnisinya","Samaria","Nablus","West Bank","","119","157","Village","Palestinian","200","200","","Remaining","Village","Palestinian","613","613","","","","","32.273347","35.216152","yes","","1188","","3082","194","GeoPoints/Ijnisinya_1188","","",""
"647","Immatin","اماتين","","immatin","Samaria","Nablus","West Bank","","234","334","Village","Palestinian","440","440","","Remaining","Village","Palestinian","2973","2973","","","","","32.192987","35.158293","yes","","1191","","3083","195","GeoPoints/Immatin_1191","","",""
"648","Iskaka","اسكاكا","","iskaka","Samaria","Nablus","West Bank","","127","186","Village","Palestinian","260","260","","Remaining","Village","Palestinian","1107","1107","","","","","32.104253","35.223527","yes","","1198","","3084","196","GeoPoints/Iskaka_1198","","",""
"649","Jalud","جالود","","jalud","Samaria","Nablus","West Bank","","145","225","Village","Palestinian","300","300","","Remaining","Village","Palestinian","563","563","","","","","32.069920","35.315423","yes","","1211","","3085","197","GeoPoints/Jalud_1211","","",""
"650","Jamma'in","جماعين","","jammain","Samaria","Nablus","West Bank","","720","957","Village","Palestinian","1240","1240","","Remaining","Village","Palestinian","7554","7554","","","","","32.130427","35.199980","yes","","1212","","3086","198","GeoPoints/Jamma_in_1212","","",""
"651","Jinsafut","جنصافوط","","jinsafut","Samaria","Nablus","West Bank","","267","315","Village","Palestinian","450","450","","Remaining","Village","Palestinian","2638","2638","","","","","32.179228","35.130540","yes","","1230","","3087","199","GeoPoints/Jinsafut_1230","","",""
"652","Jit","جت","","jit","Samaria","Nablus","West Bank","","285","289","Village","Palestinian","440","440","","Remaining","Village","Palestinian","2735","2735","","","","","32.214542","35.170436","yes","","1232","","3088","200","GeoPoints/Jit_1232","","",""
"653","Juneid","جنيد","","juneid","Samaria","Nablus","West Bank","","59","69","Village","Palestinian","90","90","","Remaining","Village","Palestinian","","","","","","","32.224884","35.219349","yes","","1241","","3089","228","GeoPoints/Juneid_1241","","",""
"654","Jurish","جوريش","","jurish","Samaria","Nablus","West Bank","","195","236","Village","Palestinian","340","340","","Remaining","Village","Palestinian","1699","1699","","","","","32.102015","35.323054","yes","","1242","","3090","201","GeoPoints/Jurish_1242","","",""
"655","Kafr al-Deik","كفر الديك","","kafr-al-deik","Samaria","Nablus","West Bank","","487","665","Village","Palestinian","870","870","","Remaining","Village","Palestinian","5524","5524","","","","","32.066373","35.082180","yes","","1252","","3091","202","GeoPoints/Kafr_al_Dik_1252","","",""
"656","Kafr Laqif","كفر لاقف","","kafr-laqif","Samaria","Nablus","West Bank","","95","141","Village","Palestinian","210","210","","Remaining","Village","Palestinian","1066","1066","","","","","32.183981","35.091364","yes","","1259","","3092","203","GeoPoints/Kafr_Laqif_1259","","",""
"657","Kavr Qaddum","كفر قدوم","","kavr-qaddum","Samaria","Nablus","West Bank","","874","963","Village","Palestinian","1240","1240","","Remaining","Village","Palestinian","3621","3621","","","","","32.221690","35.141951","yes","","1264","","3093","204","GeoPoints/Kafr_Qaddum_1264","","",""
"658","Kafr Qalil","كفر قليل","","kafr-qalil","Samaria","Nablus","West Bank","","298","332","Village","Palestinian","470","470","","Remaining","Village","Palestinian","2974","2974","","","","","32.191418","35.275844","yes","","1265","","3094","205","GeoPoints/Kafr_Qallil_1265","","",""
"659","Khirbat Qeis","خربة قيس","","khirbat-qeis","Samaria","Nablus","West Bank","","94","114","Village","Palestinian","170","170","","Remaining","Village","Palestinian","274","274","","","","","32.062146","35.177140","yes","","1338","","3095","206","GeoPoints/Kh__Qeis_1338","","",""
"660","Khirbat Sir","خربة صير","","khirbat-sir","Samaria","Nablus","West Bank","","","","Village","Palestinian","","","","Remaining","Village","Palestinian","557","557","","","","","32.197025","35.060861","yes","","1343","","3096","207","GeoPoints/Kh__Sir_1343","","",""
"661","Kifl Harith","كفل حارث","","kifl-harith","Samaria","Nablus","West Bank","","373","562","Village","Palestinian","770","770","","Remaining","Village","Palestinian","3941","3941","","","","","32.118227","35.156821","yes","","1371","","3097","208","GeoPoints/Kifl_Harith_1371","","",""
"662","Lubban al-Sharqiyya","اللبّن الشرقية","","lubban-al-sharqiyya","Samaria","Nablus","West Bank","","356","475","Village","Palestinian","620","620","","Remaining","Village","Palestinian","2991","2991","","","","","32.071962","35.241671","yes","","1384","","3098","209","GeoPoints/Lubban_Sharqiya_1384","","",""
"663","Madama","مادما","","madama","Samaria","Nablus","West Bank","","170","211","Village","Palestinian","290","290","","Remaining","Village","Palestinian","2128","2128","","","","","32.185480","35.230963","yes","","1388","","3099","210","GeoPoints/Madama_1388","","",""
"664","Majdal Bani Fadil","مجدل بني فاضل","","majdal-bani-fadil","Samaria","Nablus","West Bank","","","","Village","Palestinian","430","430","","Remaining","Village","Palestinian","2891","2891","","","","","32.083434","35.363676","yes","","1392","","3100","211","GeoPoints/Majdal_Bani_Fadil_1392","","",""
"665","Marda","مردة","","marda","Samaria","Nablus","West Bank","","290","356","Village","Palestinian","470","470","","Remaining","Village","Palestinian","2417","2417","","","","","32.113606","35.196210","yes","","1399","","3101","212","GeoPoints/Marda_1399","","",""
"666","Mas-ha","مسحة","","mas-ha","Samaria","Nablus","West Bank","","80","","Village","Palestinian","110","110","","Remaining","Village","Palestinian","2430","2430","","","","","32.108179","35.051576","yes","","1402","","3102","213","GeoPoints/Mas_ha_1402","","",""
"667","al-Mughayyir","المغير","","al-mughayyir-nablus","Samaria","Nablus","West Bank","","179","204","Village","Palestinian","290","290","","Remaining","Village","Palestinian","3030","3030","","","","","32.019140","35.348074","yes","","1057","","3103","185","GeoPoints/al_Mughaiyir_1057","","",""
"668","Nablus","نابلس","","nablus","Samaria","Nablus","West Bank","1945_Urban","15947","17498","Town","Palestinian","23250","23250","","Remaining","City","Palestinian","153061","153061","","","","","32.218567","35.263853","yes","","1447","","3104","157","GeoPoints/Nablus_1447","","",""
"669","al-Naqura","الناقورة","","al-naqura","Samaria","Nablus","West Bank","","233","309","Village","Palestinian","350","350","","Remaining","Village","Palestinian","1875","1875","","","","","32.265610","35.201164","yes","","1078","","3105","186","GeoPoints/al_Naqura_1078","","",""
"670","Nidf Jubeil","نصف جبيل","","nidf-jubeil","Samaria","Nablus","West Bank","","162","210","Village","Palestinian","260","260","","Remaining","Village","Palestinian","478","478","","","","","32.283061","35.220163","yes","","1460","","3106","214","GeoPoints/Nisf_Jubeil_1460","","",""
"671","Qabalan","قبلان","","qabalan","Samaria","Nablus","West Bank","","771","936","Village","Palestinian","1310","1310","","Remaining","Village","Palestinian","8652","8652","","","","","32.104146","35.289175","yes","","1467","","3107","215","GeoPoints/Qabalan_1467","","",""
"672","Qarawar Bani Hasan","قراوة بني حسن","","qarawar-bani-hasan","Samaria","Nablus","West Bank","","313","352","Village","Palestinian","450","450","","Remaining","Village","Palestinian","4612","4612","","","","","32.128917","35.099482","yes","","1479","","3108","216","GeoPoints/Qarawat_Bani_Hasan_1479","","",""
"673","Qaryut","قريوت","","qaryut","Samaria","Nablus","West Bank","","530","729","Village","Palestinian","930","930","","Remaining","Village","Palestinian","2817","2817","","","","","32.070515","35.293829","yes","","1482","","3109","217","GeoPoints/Qaryut_1482","","",""
"674","Qira","قيرة","","qira-nablus","Samaria","Nablus","West Bank","","87","102","Village","Palestinian","140","140","","Remaining","Village","Palestinian","1387","1387","","","","","32.122249","35.171556","yes","","1490","","3110","218","GeoPoints/Qira_1490","","",""
"675","Qusin","قوصين","","qusin","Samaria","Nablus","West Bank","","147","217","Village","Palestinian","310","310","","Remaining","Village","Palestinian","2074","2074","","","","","32.239029","35.182419","yes","","1495","","3111","219","GeoPoints/Qusin_1495","","",""
"676","Qusra","قصرة","","qusra","Samaria","Nablus","West Bank","","707","851","Village","Palestinian","1120","1120","","Remaining","Village","Palestinian","5311","5311","","","","","32.085371","35.330225","yes","","1497","","3112","220","GeoPoints/Qusra_1497","","",""
"677","Rafat","رافات","","rafat-nablus","Samaria","Nablus","West Bank","","92","127","Village","Palestinian","180","180","","Remaining","Village","Palestinian","2258","2258","","","","","32.077937","35.043738","yes","","2228","","3113","221","GeoPoints/Rafat_2228","","",""
"678","Rafidiya","رفيدية","","rafidiya","Samaria","Nablus","West Bank","","438","355","Village","Palestinian","430","430","","Remaining","Village","Palestinian","","","","","","","32.223493","35.236608","yes","","1504","","3114","222","GeoPoints/Rafidiya_1504","","",""
"679","Rujeib","روجيب","","rujeib","Samaria","Nablus","West Bank","","250","277","Village","Palestinian","390","390","","Remaining","Village","Palestinian","5099","5099","","","","","32.189671","35.293111","yes","","1523","","3115","223","GeoPoints/Rujeib_1523","","",""
"680","Sabastiyya","سبسطية","","sabastiyya","Samaria","Nablus","West Bank","","572","751","Village","Palestinian","1020","1020","","Remaining","Village","Palestinian","3172","3172","","","","","32.276464","35.195119","yes","","1533","","3116","224","GeoPoints/Sabastiya_1533","","",""
"681","Salfit","سلفيت","","salfit","Samaria","Nablus","West Bank","","901","1415","Village","Palestinian","1830","1830","","Remaining","Village","Palestinian","10673","10673","","","","","32.081456","35.178966","yes","","1543","","3117","225","GeoPoints/Salfit_1543","","",""
"682","Salim","سالم","","salim-nablus","Samaria","Nablus","West Bank","","423","490","Village","Palestinian","660","660","","Remaining","Village","Palestinian","6143","6143","","","","","32.208519","35.331232","yes","","2208","","3118","226","GeoPoints/Salim_2208","","",""
"683","Sanniriya","سنّيرية","","sanniriya","Samaria","Nablus","West Bank","","529","722","Village","Palestinian","990","990","","Remaining","Village","Palestinian","3461","3461","","","","","32.128882","35.047288","yes","","1549","","3119","227","GeoPoints/Sanniriya_1549","","",""
"684","Sarra","صرة","","sarra","Samaria","Nablus","West Bank","","277","382","Village","Palestinian","540","540","","Remaining","Village","Palestinian","3109","3109","","","","","32.211190","35.192450","yes","","1560","","3120","228","GeoPoints/Sarra_1560","","",""
"685","Sarta","صرطة","","sarta","Samaria","Nablus","West Bank","","276","317","Village","Palestinian","420","420","","Remaining","Village","Palestinian","3070","3070","","","","","32.104042","35.090225","yes","","1561","","3121","229","GeoPoints/Sarta_1561","","",""
"686","al-Sawiya","الساوية","","al-sawiya","Samaria","Nablus","West Bank","","476","596","Village","Palestinian","820","820","","Remaining","Village","Palestinian","2904","2904","","","","","32.084861","35.257697","yes","","1100","","3122","187","GeoPoints/al_Sawaiya_1100","","",""
"687","Talfit","تلفيت","","talfit","Samaria","Nablus","West Bank","","352","474","Village","Palestinian","610","610","","Remaining","Village","Palestinian","3427","3427","","","","","32.087100","35.291354","yes","","1628","","3123","230","GeoPoints/Talfit_1628","","",""
"688","Tall","تل","","tall","Samaria","Nablus","West Bank","","567","803","Village","Palestinian","1060","1060","","Remaining","Village","Palestinian","5271","5271","","","","","32.200678","35.212644","yes","","1643","","3124","234","GeoPoints/Tall_1643","","",""
"689","Talluza","طلّوزة","","talluza","Samaria","Nablus","West Bank","","1116","1376","Village","Palestinian","1830","1830","","Remaining","Village","Palestinian","2882","2882","","","","","32.271083","35.294329","yes","","1630","","3125","231","GeoPoints/Talluza_1630","","",""
"690","Tammun","طمّون","","tammun","Samaria","Nablus","West Bank","","1345","1599","Village","Palestinian","2070","2070","","Remaining","Village","Palestinian","14359","14359","","","","","32.282866","35.384698","yes","","1631","","3126","232","GeoPoints/Tammun_1631","","",""
"691","Tayasir","تياسير","","tayasir","Samaria","Nablus","West Bank","","146","187","Village","Palestinian","260","260","","Remaining","Village","Palestinian","3311","3311","","","","","32.341073","35.396540","yes","","1638","","3127","233","GeoPoints/Tayasir_1638","","",""
"692","Tubas","طوباس","","tubas","Samaria","Nablus","West Bank","","3349","4097","Village","Palestinian","5530","5530","","Remaining","City","Palestinian","21487","21487","","","","","32.321312","35.368353","yes","","1653","","3128","243","GeoPoints/Tubas_1653","","",""
"693","Urif","عوريف","","urif","Samaria","Nablus","West Bank","","270","402","Village","Palestinian","520","520","","Remaining","Village","Palestinian","3545","3545","","","","","32.159796","35.222491","yes","","596","","3129","167","GeoPoints/_Urif_596","","",""
"694","Usarin","أوصرين","","usarin","Samaria","Nablus","West Bank","","87","122","Village","Palestinian","200","200","","Remaining","Village","Palestinian","1956","1956","","","","","32.124866","35.310577","yes","","597","","3130","235","GeoPoints/_Usarin_597","","",""
"695","Yanun","يانون","","yanun","Samaria","Nablus","West Bank","","71","120","Village","Palestinian","50","50","","Remaining","Village","Palestinian","124","124","","","","","32.145277","35.355474","yes","","1699","","3131","236","GeoPoints/Yanun_1699","","",""
"696","Yasid","ياصيد","","yasid","Samaria","Nablus","West Bank","","308","372","Village","Palestinian","480","480","","Remaining","Village","Palestinian","2529","2529","","","","","32.296502","35.278229","yes","","1701","","3132","237","GeoPoints/Yasid_1701","","",""
"697","Yasuf","ياسوف","","yasuf","Samaria","Nablus","West Bank","","172","257","Village","Palestinian","360","360","","Remaining","Village","Palestinian","1967","1967","","","","","32.109621","35.237842","yes","","1702","","3133","238","GeoPoints/Yasuf_1702","","",""
"698","Yatma","يتما","","yatma","Samaria","Nablus","West Bank","","242","325","Village","Palestinian","440","440","","Remaining","Village","Palestinian","3462","3462","","","","","32.108501","35.268585","yes","","1704","","3134","239","GeoPoints/Yatma_1704","","",""
"699","Zawata","زواتا","","zawata","Samaria","Nablus","West Bank","","214","247","Village","Palestinian","330","330","","Remaining","Village","Palestinian","2275","2275","","","","","32.246167","35.226919","yes","","1719","","3135","240","GeoPoints/Zawata_1719","","",""
"700","Zawiya","زاوية","","zawiya-nablus","Samaria","Nablus","West Bank","","398","513","Village","Palestinian","720","720","","Remaining","Village","Palestinian","5768","5768","","","","","32.096064","35.040074","yes","","1720","","3136","244","GeoPoints/al_Zawiya_1720","","",""
"701","Zayta","زيتا","","zayta-nablus","Samaria","Nablus","West Bank","","283","405","Village","Palestinian","510","510","","Remaining","Village","Palestinian","2567","2567","","","","","32.137475","35.185591","yes","","1724","","3137","241","GeoPoints/Zayta_1724","","",""
"703","Afula","عفولة","עפולה","afula","Galilee","Nazareth","Northern","","","","Settlement","Mixed","2310","10","2300","Remaining","City","Jewish","46600","","42600","4000","1925","","32.609587","35.289303","yes","","1731","","3139","61","","","",""
"704","Arab al-Subeih","عرب الصبيح","","arab-al-subeih","Galilee","Nazareth","","","653","716","Village","Palestinian","1320","1320","","Depopulated","","","","","","","","1948-04-19","32.699665","35.405585","yes","","3012","405","3140","91","GeoPoints/_Arab_Shibli_3012","","",""
"705","Ayn Mahil","عين ماهل","","ayn-mahil","Galilee","Nazareth","Northern","","516","628","Village","Palestinian","1040","1040","","Remaining","Village","Palestinian","12600","12600","","","","","32.723767","35.354721","yes","","2561","","3141","67","GeoPoints/_Ayn_Mahil_2561","","",""
"706","Balfourya","بلفوريا","בלפוריה","balfurya","Galilee","Nazareth","Northern","","","","Settlement","Jewish","330","","330","Remaining","Settlement","Jewish","400","","400","","1922","","32.630200","35.296410","yes","","1745","","3142","63","","","",""
"707","Bu'eina","بعينة","","bueina","Galilee","Nazareth","Northern","","212","359","Village","Palestinian","540","540","","Remaining","Village","Palestinian","9300","9300","","","","","32.805988","35.364226","yes","","920","","3143","64","GeoPoints/Bu_eina_920","","",""
"708","Dabburiyya","دبّورية","","dabburiyya","Galilee","Nazareth","Northern","","602","747","Village","Palestinian","1290","1290","","Remaining","Village","Palestinian","10000","10000","","","","","32.692206","35.372180","yes","","935","","3144","65","GeoPoints/Dabburiya_935","","",""
"709","al-Dahi","الدهي","","al-dahi","Galilee","Nazareth","Northern","","84","87","Village","Palestinian","110","110","","Remaining","Village","Palestinian","600","600","","","","","32.620570","35.345167","yes","","683","","3145","66","GeoPoints/al_Dahi_683","","",""
"710","Gevat","غبعت","גבת","gevat","Galilee","Nazareth","Northern","","","","Settlement","Jewish","520","","520","Remaining","Settlement","Jewish","900","","900","","1926","","32.675774","35.212276","yes","","3220","","3146","54","","","",""
"711","Ginneiger","جنيجر","גיניגר","ginnegar","Galilee","Nazareth","Northern","","","","Settlement","Jewish","330","","330","Remaining","Settlement","Jewish","700","","700","","1922","","32.663860","35.257740","yes","","1782","","3147","55","","","",""
"712","Iksal","اكسال","","iksal","Galilee","Nazareth","Northern","","261","752","Village","Palestinian","1110","1110","","Remaining","Village","Palestinian","14000","14000","","","","","32.683007","35.324772","yes","","1190","","3148","68","GeoPoints/Iksal_1190","","",""
"713","Ilut","علوط","","ilut","Galilee","Nazareth","Northern","","501","834","Village","Palestinian","1310","1310","","Built over","","Palestinian","7700","7700","","","","1948-07-16","32.717373","35.259674","yes","","589","","3149","69","GeoPoints/_Illut_589","","",""
"714","Indur","إندور","אִנְדוּר","indur","Galilee","Nazareth","","","311","445","Village","Palestinian","620","620","","Depopulated","","","","","","","","1948-05-24","32.637992","35.382195","yes","48982","1192","406","3150","70","Nazareth/Indur","17009/indur","22319/إندور",""
"715","Kafr Kanna","كفر كنّا","","kafr-kanna","Galilee","Nazareth","Northern","","1175","1378","Village","Palestinian","1930","1930","","Remaining","Village","Palestinian","21500","21500","","","","","32.746666","35.339225","yes","","1257","","3151","71","GeoPoints/Kafr_Kanna_1257","","",""
"716","Kafr Manda","كفر مندا","","kafr-manda","Galilee","Nazareth","Northern","","428","975","Village","Palestinian","1260","1260","","Remaining","Village","Palestinian","18800","18800","","","","","32.809946","35.260885","yes","","1261","","3152","96","GeoPoints/Kafr_Manda_1261","","",""
"717","Kawkab Abu al-Heija","كوكب","","kawkab-abu-al-heija","Galilee","Nazareth","Northern","","222","285","Village","Palestinian","490","490","","Remaining","Village","Palestinian","3400","3400","","","","","32.830669","35.249906","yes","","1286","","3153","95","GeoPoints/Kawkab_Abu_al_Heija_1286","","",""
"718","Kefar Barukh","كفار باروخ","כפר ברוך","kefar-barukh","Galilee","Nazareth","Northern","","","","Settlement","Jewish","250","","250","Remaining","Settlement","Jewish","500","","500","","1926","","32.646280","35.190910","yes","","1807","","3154","56","","","",""
"719","Kefar Gid'on","كفر جدعون","כפר גדעון","kefar-gidon","Galilee","Nazareth","Northern","","","","Settlement","Jewish","90","","90","Remaining","Settlement","Jewish","400","","400","","1923","","32.644090","35.291300","yes","","1811","","3155","72","","","",""
"721","Kefar Tavor","كفر تفور","כפר תבור","kefar-tavor","Galilee","Nazareth","Northern","","","","Settlement","Jewish","230","","230","Remaining","Settlement","Jewish","4000","","3900","100","1901","","32.686770","35.421691","yes","","1824","","3157","73","","","",""
"723","Mahane Yisrael","محني اسرائيل","","mahane-yisrael","Galilee","Nazareth","Northern","","","","Village","Jewish","","","","Remaining","Abandoned","Jewish","","","","","","","32.644272","35.343750","yes","","5977","","3159","93","","","",""
"724","Ma'lul","معلول","מַעלוּל","maalul","Galilee","Nazareth","","","346","390","Village","Palestinian","690","690","","Depopulated","","","","","","","","1948-07-15","32.697049","35.241571","yes","49281","1387","407","3160","74","Nazareth/Ma%27lul","17088/malul","22325/معلول",""
"725","Mash-had","مشهد","","mash-had","Galilee","Nazareth","Northern","","356","","Village","Palestinian","660","660","","Remaining","Village","Palestinian","7900","7900","","","","","32.739463","35.324174","yes","","1405","","3161","75","GeoPoints/Mashhad_1405","","",""
"726","Merhavay (Moshav)","مرحافيا","מרחביה (מושב)","merhavya-moshav","Galilee","Nazareth","Northern","","","","Settlement","Jewish","270","","270","Remaining","Settlement","Jewish","700","","700","","1922","","32.601301","35.316084","yes","","1840","","3162","76","","","",""
"727","Merhavay (Qibbuz)","مرحافيا","מרחביה (קיבוץ)","merhavya-qibbuz","Galilee","Nazareth","Northern","","","","Settlement","Jewish","350","","350","Remaining","Settlement","Jewish","1200","","1100","100","1911","","32.605789","35.309202","yes","","1841","","3163","76","","","",""
"728","Mizra'","مزرع","מזרע","mizra","Galilee","Nazareth","Northern","","","","Settlement","Jewish","320","","320","Remaining","Settlement","Jewish","700","","700","","1923","","32.651691","35.287419","yes","","1850","","3164","92","","","",""
"729","Mount Tabour","جبل طابور","","mount-tabour","Galilee","Nazareth","Northern","","","","Monastery","Palestinian","","","","Remaining","Monastery","Palestinian","","","","","","","32.686451","35.390811","yes","","1427","","3165","77","GeoPoints/Mt__Tabor_1427","","",""
"730","al-Mujaydil","المجيدل","","al-mujaydal","Galilee","Nazareth","","","1009","1241","Village","Palestinian","1900","1900","","Built over","","","","","","","","1948-07-15","32.678116","35.243671","yes","49285","749","408","3166","78","Nazareth/al-Mujaydil","16856/al-mujaydil","22323/المجيدل",""
