landmark_id,name,category,type,name_ar,category_ar,type_ar,interviews,lon,lat,pom_id
2059,Dannūn,Town/Village,Village,الشيخ دنون,مدينة وقرية,قرية,1,35.147948,32.993424,11150
2060,Dayr al-Asad,Town/Village,Village,دير الاسد,مدينة وقرية,قرية,11,35.269402,32.935508,39
2061,Dayr al-Qāsī,Town/Village,Village,دير القاسي,مدينة وقرية,قرية,4,35.323342,33.034573,41
2062,Dayshūm,Town/Village,Village,ديشوم,مدينة وقرية,قرية,5,35.505913,33.079456,820
2063,Fārah,Town/Village,Village,فارة,مدينة وقرية,قرية,5,35.456548,33.065222,823
2064,Firʻim,Town/Village,Village,فرعم,مدينة وقرية,قرية,6,35.532638,32.985268,825
2065,Gaza,Town/Village,Town,أبو مدين,مدينة وقرية,مدينة,2,34.466,31.501873,245
2066,Ghuwayr Abū Shūshah,Town/Village,Village,غوير ابو شوشة,مدينة وقرية,قرية,3,35.507154,32.853131,904
2067,Haifa,Town/Village,Town,حيفا,مدينة وقرية,مدينة,37,35.00154,32.815367,329
2068,Ḥajjah,Town/Village,Village,حجة,مدينة وقرية,قرية,1,35.131153,32.204784,643
2069,Ḥamāmah,Town/Village,Village,حمامة,مدينة وقرية,قرية,1,34.590774,31.691834,267
2070,Hawshah,Town/Village,Village,هوشة,مدينة وقرية,قرية,2,35.1427,32.7929,1138
2071,Ḥawwāsah,Town/Village,Village,Ḥawwāsah,مدينة وقرية,قرية,3,,,
2072,Ḥiṭṭīn,Town/Village,Village,حطّين,مدينة وقرية,قرية,7,35.453827,32.807383,907
2073,Hūnīn,Town/Village,Village,هونين,مدينة وقرية,قرية,3,35.545197,33.218837,832
2074,ʻAkbarah,Town/Village,Village,عكبرة,مدينة وقرية,قرية,5,35.498979,32.938914,808
2075,ʻAlmā,Town/Village,Village,علما,مدينة وقرية,قرية,12,35.490981,33.055618,809
2076,ʻAmmūqah,Town/Village,Village,عمّوقة,مدينة وقرية,قرية,1,35.519146,33.005339,810
2077,ʻArab al-Samnīyah,Town/Village,Village,عرب السّمنية,مدينة وقرية,قرية,1,35.179054,33.047056,31
2078,ʻArab al-Suyyād,Town/Village,Village,ʻArab al-Suyyād,مدينة وقرية,قرية,1,,,
2079,ʻArab al-Zubayd,Town/Village,Village,عرب الزبيد,مدينة وقرية,قرية,5,35.5675,33.079,1164
2080,ʻArrābah,Town/Village,Village,عرابة,مدينة وقرية,قرية,2,35.338329,32.850728,32
2081,ʻAylūṭ,Town/Village,Village,عيلوط,مدينة وقرية,قرية,5,35.259064,32.716764,713
2082,ʻAyn al-Zaytūn,Town/Village,Village,عين الزيتون,مدينة وقرية,قرية,6,35.491161,32.9875,812
2083,ʻAyn Māhil,Town/Village,Village,عين ماهل ‎,مدينة وقرية,قرية,1,35.352716,32.723321,705
2084,ʻIbilīn,Town/Village,Village,إعبلين,مدينة وقرية,قرية,2,35.191637,32.82135,332
2085,Ibṭin,Town/Village,Village,إبطن,مدينة وقرية,قرية,2,35.112985,32.76149,10005
2086,Ijzim,Town/Village,Village,إجزم,مدينة وقرية,قرية,1,34.988225,32.644571,4
2087,Iksāl,Town/Village,Village,إكسال,مدينة وقرية,قرية,1,35.3238,32.68255,712
2088,Indūr,Town/Village,Village,إندور,مدينة وقرية,قرية,1,35.381946,32.637269,714
2089,Jabāliyā,Town/Village,Village,جبالية,مدينة وقرية,قرية,1,34.483669,31.526429,276
2090,Jaffa,Town/Village,Town,يافا,مدينة وقرية,مدينة,8,34.74754,32.049293,420
2091,Jāḥūlā,Town/Village,Village,جاحولا,مدينة وقرية,قرية,5,35.567193,33.124865,834
2092,Jazāyir al-Ḥindāj,Town/Village,Village,جزاير الهنداج,مدينة وقرية,قرية,2,35.556393,33.039906,
2093,Jerusalem,Town/Village,Town,القدس,مدينة وقرية,مدينة,7,35.233067,31.775988,509
2094,Jidrū,Town/Village,Village,Jidrū,مدينة وقرية,قرية,1,,,
2095,Kafr Kannā,Town/Village,Village,كفركنا,مدينة وقرية,قرية,2,35.338951,32.745466,715
2096,Kafr Birʻim,Town/Village,Village,كفر برعم,مدينة وقرية,قرية,2,35.412777,33.04324,838
2097,Kafr ʻAnān,Town/Village,Village,كفر عنان,مدينة وقرية,قرية,4,35.418237,32.922658,50
2098,Kafr Qariʻ,Town/Village,Village,كفر قرع,مدينة وقرية,قرية,1,35.051989,32.506772,334
2099,Kawkab Abū al-Hayjāʼ,Town/Village,Village,كوكب الهوا,مدينة وقرية,قرية,2,35.249632,32.829901,717
2100,Khirbat al-Kasāyir,Town/Village,Village,خربة الكسائر,مدينة وقرية,قرية,7,35.1381,32.7933,1139
2101,Khirbat al-Waʻrah al-Sawdā,Town/Village,Village,خربة الوعرة السوداء,مدينة وقرية,قرية,2,35.480946,32.833843,934
2102,Khirbat Jaʻtūn,Town/Village,Village,Khirbat Jaʻtūn,مدينة وقرية,قرية,1,35.194638,33.012543,
2103,Khirbat Jālīn,Town/Village,Village,Khirbat Jālīn,مدينة وقرية,قرية,2,,,
2104,Khirbat Jiddīn,Town/Village,Village,خربة جدّين,مدينة وقرية,قرية,1,35.221327,32.993957,47
2105,Saʻsaʻ,Town/Village,Village,سعسع,مدينة وقرية,قرية,15,35.393812,33.028544,875
2106,Khirbat Wādī al-Ḥamām,Town/Village,Village,وادي الحمام,مدينة وقرية,قرية,1,35.4908,32.8278,1175
2107,Kufayrāt,Town/Village,Village,كفيرات,مدينة وقرية,قرية,1,35.200821,32.443196,582
2108,Kufrītā,Town/Village,Village,Kufrītā,مدينة وقرية,قرية,1,,,
2109,Kuwaykāt,Town/Village,Village,كويكات,مدينة وقرية,قرية,9,35.146962,32.970631,55
2110,Lazāzah,Town/Village,Village,لزّازة,مدينة وقرية,قرية,1,35.611413,33.206033,845
2111,Lūbyā,Town/Village,Village,لوبيا,مدينة وقرية,قرية,21,35.42816,32.776115,913
2112,Maʻdhar,Town/Village,Village,معذر,مدينة وقرية,قرية,3,35.464232,32.693155,914
2113,Maʻlūl,Town/Village,Village,معلول,مدينة وقرية,قرية,1,35.240798,32.696483,724
2114,Majd al-Kurūm,Town/Village,Village,مجد الكروم,مدينة وقرية,قرية,7,35.251496,32.920452,56
2115,Mallāḥah,Town/Village,Village,ملاّحة,مدينة وقرية,قرية,1,35.581969,33.090381,848
2116,Mayrūn,Town/Village,Village,ميرون,مدينة وقرية,قرية,4,35.43829,32.981991,853
2117,Mīʻār,Town/Village,Village,ميعار,مدينة وقرية,قرية,3,35.245984,32.875309,60
2118,Mughr al-Khayṭ,Town/Village,Village,مغر الخيط,مدينة وقرية,قرية,5,35.538653,32.988321,857
2119,Nablus,Town/Village,Town,نابلس,مدينة وقرية,مدينة,4,35.263793,32.223845,668
2120,Nahariya,Town/Village,Village,نهاريا,مدينة وقرية,قرية,1,35.097535,33.008629,64
2121,Naḥf,Town/Village,Village,نحف,مدينة وقرية,قرية,14,35.31544,32.935848,62
2122,Nāʻimah,Town/Village,Village,الناعمة,مدينة وقرية,قرية,5,35.594967,33.188168,859
2123,Nazareth,Town/Village,Town,النَّاصِرَة,مدينة وقرية,مدينة,6,35.29524,32.70143,733
2124,Nimrīn,Town/Village,Village,نمرين,مدينة وقرية,قرية,4,35.426006,32.804043,921
2125,Qabbāʻah,Town/Village,Village,قبّاعة,مدينة وقرية,قرية,4,35.536741,32.999057,860
2126,Qadas,Town/Village,Village,قدس,مدينة وقرية,قرية,10,35.527032,33.113142,861
2127,Qaddītā,Town/Village,Village,قدّيتا,مدينة وقرية,قرية,3,35.467105,33.004512,862
2128,Qāqūn,Town/Village,Village,قاقون,مدينة وقرية,قرية,1,34.994539,32.360258,1014
2129,Qaysārīyah,Town/Village,Village,قيسارية,مدينة وقرية,قرية,1,34.907753,32.50752,11026
2130,Sabalān,Town/Village,Village,سبلان,مدينة وقرية,قرية,2,35.340693,33.011281,868
2131,Safad,Town/Village,Village,صفد,مدينة وقرية,قرية,14,35.497927,32.966521,869
2132,Ṣaffūrīyah,Town/Village,Village,صفوريّة,مدينة وقرية,قرية,40,35.277792,32.751888,736
2133,Saida,Town/Village,Village,صيدا,مدينة وقرية,قرية,1,,,
2134,Ṣalḥah,Town/Village,Village,صالحة,مدينة وقرية,قرية,5,35.45513,33.075662,871
2135,Sannīrīyah,Town/Village,Village,سنيرية,مدينة وقرية,قرية,1,35.046466,32.128758,683
2136,Shafā ʻAmrū,Town/Village,Town,شفاعمرو,مدينة وقرية,مدينة,15,35.16942,32.805046,356
2137,Shaʻb,Town/Village,Village,شعب‎,مدينة وقرية,قرية,11,35.238428,32.88974,11164
2138,Suḥmātā,Town/Village,Village,سحماتا,مدينة وقرية,قرية,20,35.302365,33.005814,70
2139,Tarbīkhā,Town/Village,Village,تربيخا,مدينة وقرية,قرية,2,35.284478,33.08256,73
2140,Tarshīḥā,Town/Village,Village,ترشيحا,مدينة وقرية,قرية,18,35.266972,33.005496,74
2141,Ṭayṭabāh,Town/Village,Village,طيطبا,مدينة وقرية,قرية,3,35.47571,33.012986,879
2142,Tiberias,Town/Village,Town,طبريه,مدينة وقرية,مدينة,4,35.541156,32.786895,932
2143,Ṭurʻān,Town/Village,Village,طرعان,مدينة وقرية,قرية,1,35.369706,32.776679,741
2144,Umm al-Faraj,Town/Village,Village,ام الفرج,مدينة وقرية,قرية,11,35.121064,33.004934,75
2145,Umm al-Faḥm,Town/Village,Village,أمّ الفحم‎,مدينة وقرية,قرية,1,35.152152,32.515857,602
2146,Wādī al-Ḥundāj,Town/Village,Village,وادي الهنداج,مدينة وقرية,قرية,2,,,
2147,Waldheim (Umm al-ʻAmad),Town/Village,Village,ام العمد,مدينة وقرية,قرية,1,35.171184,32.728083,363
2148,Yaʻbad,Town/Village,Village,يعبد,مدينة وقرية,قرية,1,35.168906,32.446068,604
2149,Yājūr,Town/Village,Village,ياجور,مدينة وقرية,قرية,2,35.056934,32.75863,17
2150,Yibnah,Town/Village,Village,يبنة,مدينة وقرية,قرية,1,34.745681,31.865781,177
